     south (in),      east (in),      az  (deg),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (pix),     rght (pix),     top  (pix),     bot  (pix),     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     left (rad),     rght (rad),     top  (rad),     bot  (rad),     ctr-az-rad,     ctr-el-rad,     d_est_1-in,     h_est_1-in,     level     ,     position  ,     leftmost  ,     rightmost ,     south1    ,     east1     ,     az1       ,     south2    ,          east2,     az2       ,     south     ,     east      ,     az        ,     az-off-rad,     range (in)
             70,            -60,      35.217593,     245.000000,     302.000000,     227.000000,     152.000000,     155.000000,     234.000000,      95.000000,       7.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.208856,       0.340302,       0.260731,       0.079623,       0.274579,       0.170177,      96.250360,      68.539570,             MU,             MR,      -0.012467,       0.182466,      -0.062257,      -0.274645,       0.085000,      -0.168451,      82.031557,      38.049514,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      73.857960,     -60.554535,       0.594030,      65.162838,     -60.523226,       0.652532,      69.510399,     -60.538880,       0.623281,       0.094908,     103.956547
             70,            -60,      45.791016,     170.000000,     223.000000,     225.000000,     151.000000,      80.000000,     160.000000,      96.000000,       5.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.024930,       0.155817,       0.256069,       0.077145,       0.090373,       0.166607,      97.551041,      68.404778,             MU,             MR,      -0.196895,       0.000000,      -0.059773,      -0.279259,      -0.098448,      -0.169516,      79.327220,      38.422480,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      69.172787,     -60.675428,       0.810086,      63.958000,     -60.448973,       0.845187,      66.565394,     -60.562201,       0.827637,       0.099880,     119.944755
             70,             60,     -45.791016,      97.000000,     150.000000,     225.000000,     151.000000,     160.000000,     240.000000,      96.000000,       5.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.155817,      -0.024930,       0.256069,       0.077145,      -0.090373,       0.166607,      97.551041,      68.404778,             MU,             ML,       0.000000,       0.196895,      -0.059773,      -0.279259,       0.098448,      -0.169516,      79.327220,      38.422480,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      63.958000,      60.448973,      -0.845187,      69.172787,      60.675428,      -0.810086,      66.565394,      60.562201,      -0.827637,      -0.099880,     119.944755
             70,             60,     -35.217593,      18.000000,      75.000000,     227.000000,     152.000000,      86.000000,     165.000000,      95.000000,       7.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.340302,      -0.208856,       0.260731,       0.079623,      -0.274579,       0.170177,      96.250360,      68.539570,             MU,             ML,      -0.182466,       0.012467,      -0.062257,      -0.274645,      -0.085000,      -0.168451,      82.031557,      38.049514,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      65.162838,      60.523226,      -0.652532,      73.857960,      60.554535,      -0.594030,      69.510399,      60.538880,      -0.623281,      -0.094908,     103.956547
             80,            -60,      32.275644,     239.000000,     297.000000,     220.000000,     150.000000,     151.000000,     228.000000,      97.000000,      17.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.194496,       0.329180,       0.244367,       0.074666,       0.261838,       0.159516,     103.125386,      68.591131,             MU,             MR,      -0.022438,       0.167960,      -0.057288,      -0.251397,       0.072761,      -0.154342,      90.234713,      37.961326,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      83.923395,     -59.593707,       0.538321,      74.001174,     -60.793787,       0.605368,      78.962284,     -60.193747,       0.571845,       0.081583,     111.589417
             80,            -60,      42.607522,     165.000000,     220.000000,     218.000000,     149.000000,      78.000000,     155.000000,      97.000000,      15.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.012467,       0.148508,       0.239666,       0.072186,       0.080488,       0.155926,     104.619957,      68.446463,             MU,             MR,      -0.201687,      -0.012467,      -0.057288,      -0.256069,      -0.107077,      -0.156679,      88.033866,      38.092997,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      85.106845,     -59.718838,       0.712703,      79.052930,     -60.681077,       0.753646,      82.079888,     -60.199958,       0.733174,       0.083807,     130.746907
             80,            -50,      27.758541,     242.000000,     309.000000,     226.000000,     153.000000,     144.000000,     230.000000,      95.000000,      12.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.201687,       0.355726,       0.258402,       0.082100,       0.278706,       0.170251,      98.887356,      69.000242,             MU,             MR,      -0.039875,       0.172804,      -0.062257,      -0.263057,       0.066465,      -0.162657,      86.973217,      37.727101,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      84.732585,     -48.801023,       0.449613,      78.309483,     -50.824502,       0.500143,      81.521034,     -49.812762,       0.474878,       0.072069,     108.616855
             80,            -50,      39.163722,     161.000000,     223.000000,     224.000000,     151.000000,      62.000000,     150.000000,      96.000000,       9.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.002493,       0.155817,       0.253734,       0.077145,       0.079155,       0.165440,      98.887356,      68.510810,             MU,             MR,      -0.239666,      -0.024930,      -0.059773,      -0.270019,      -0.132298,      -0.164896,      82.974448,      38.192504,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      80.408770,     -50.266885,       0.683852,      76.938198,     -51.190171,       0.710783,      78.673484,     -50.728528,       0.697318,       0.086759,     121.965830
             80,            -40,      35.346674,     156.000000,     226.000000,     231.000000,     153.000000,      45.000000,     143.000000,      94.000000,       2.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.009974,       0.163109,       0.270019,       0.082100,       0.076568,       0.176060,      92.548423,      68.464501,             MU,             MR,      -0.279259,      -0.042364,      -0.064740,      -0.286157,      -0.160812,      -0.175449,      78.464968,      38.090398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      82.434454,     -39.284150,       0.598890,      77.144705,     -41.777211,       0.647631,      79.789579,     -40.530680,       0.623261,       0.083473,     116.605853
             80,             40,     -35.346674,      94.000000,     164.000000,     231.000000,     153.000000,     177.000000,     275.000000,      94.000000,       2.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.163109,       0.009974,       0.270019,       0.082100,      -0.076568,       0.176060,      92.548423,      68.464501,             MU,             ML,       0.042364,       0.279259,      -0.064740,      -0.286157,       0.160812,      -0.175449,      78.464968,      38.090398,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      77.144705,      41.777211,      -0.647631,      82.434454,      39.284150,      -0.598890,      79.789579,      40.530680,      -0.623261,      -0.083473,     116.605853
             80,             50,     -39.163722,      97.000000,     159.000000,     224.000000,     151.000000,     170.000000,     258.000000,      96.000000,       9.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.155817,      -0.002493,       0.253734,       0.077145,      -0.079155,       0.165440,      98.887356,      68.510810,             MU,             ML,       0.024930,       0.239666,      -0.059773,      -0.270019,       0.132298,      -0.164896,      82.974448,      38.192504,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      76.938198,      51.190171,      -0.710783,      80.408770,      50.266885,      -0.683852,      78.673484,      50.728528,      -0.697318,      -0.086759,     121.965830
             80,             50,     -27.758541,      11.000000,      78.000000,     226.000000,     153.000000,      90.000000,     176.000000,      95.000000,      12.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.355726,      -0.201687,       0.258402,       0.082100,      -0.278706,       0.170251,      98.887356,      69.000242,             MU,             ML,      -0.172804,       0.039875,      -0.062257,      -0.263057,      -0.066465,      -0.162657,      86.973217,      37.727101,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      78.309483,      50.824502,      -0.500143,      84.732585,      48.801023,      -0.449613,      81.521034,      49.812762,      -0.474878,      -0.072069,     108.616855
             80,             60,     -42.607522,     100.000000,     155.000000,     218.000000,     149.000000,     165.000000,     242.000000,      97.000000,      15.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.148508,      -0.012467,       0.239666,       0.072186,      -0.080488,       0.155926,     104.619957,      68.446463,             MU,             ML,       0.012467,       0.201687,      -0.057288,      -0.256069,       0.107077,      -0.156679,      88.033866,      38.092997,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      79.052930,      60.681077,      -0.753646,      85.106845,      59.718838,      -0.712703,      82.079888,      60.199958,      -0.733174,      -0.083807,     130.746907
             80,             60,     -32.275644,      23.000000,      81.000000,     220.000000,     150.000000,      92.000000,     169.000000,      97.000000,      17.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.329180,      -0.194496,       0.244367,       0.074666,      -0.261838,       0.159516,     103.125386,      68.591131,             MU,             ML,      -0.167960,       0.022438,      -0.057288,      -0.251397,      -0.072761,      -0.154342,      90.234713,      37.961326,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      74.001174,      60.793787,      -0.605368,      83.923395,      59.593707,      -0.538321,      78.962284,      60.193747,      -0.571845,      -0.081583,     111.589417
             90,            -60,      17.258278,     130.000000,     224.000000,     237.000000,     157.000000,     237.000000,     317.000000,      97.000000,      24.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,      -0.074666,       0.158249,       0.283861,       0.091999,       0.041792,       0.187930,      90.234713,      69.160302,             MU,             ML,       0.189691,       0.373139,      -0.057288,      -0.234955,       0.281415,      -0.146121,      98.887356,      37.446740,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              0,              1,      91.979019,     -58.836792,       0.283128,      89.272508,     -61.011182,       0.312389,      90.625763,     -59.923987,       0.297759,       0.045884,     110.525621
             90,            -60,      29.744881,     233.000000,     291.000000,     213.000000,     149.000000,     149.000000,     222.000000,      98.000000,      26.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.180054,       0.315722,       0.227868,       0.072186,       0.247888,       0.150027,     112.793391,      69.050136,             MU,             MR,      -0.027422,       0.153383,      -0.054802,      -0.230233,       0.062980,      -0.142517,     100.260792,      37.613568,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      99.512850,     -57.500490,       0.456274,      86.149749,     -61.325797,       0.547419,      92.831299,     -59.413143,       0.501846,       0.065725,     123.115843
             90,            -60,      39.766905,     162.000000,     216.000000,     212.000000,     148.000000,      77.000000,     152.000000,      99.000000,      24.000000,             -1,             -1,             -1,             -1,             -1,             -1,             -1,             -1,       0.004987,       0.138739,       0.225500,       0.069705,       0.071863,       0.147602,     112.793391,      68.770550,             MU,             MR,      -0.204079,      -0.019945,      -0.052316,      -0.234955,      -0.112012,      -0.143635,      96.250360,      38.079200,             BT,             BT,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,             UN,             UN,              1,              5,      88.681739,     -60.888424,       0.707904,      80.847729,     -62.219624,       0.759914,      84.764734,     -61.554024,       0.733909,       0.081332,     133.649777
